placeId,campus,name_ko,zone,lat,lng,note_ko
nsc-main-stage,nsc,메인 스테이지,대운동장,,,"범례 1. 대운동장 무대. 2025: 10:00 개장"
nsc-eatzone-01,nsc,취식존 (북측),대운동장 북측,,,"범례 2. 트랙 북서측 입구 부근. 2025: 10:00-22:00"
nsc-eatzone-02,nsc,취식존 (동측),대운동장 동측,,,"범례 2. 트랙 북동측. 2025 안내문상 '대운동장 내 동산 방향 계단'"
nsc-truck-01,nsc,푸드트럭 1,후문-신관 도로,,,"범례 3. 도로변 순차 배치. 2025: 인사이더"
nsc-truck-02,nsc,푸드트럭 2,후문-신관 도로,,,"범례 3. 2025: 더머거"
nsc-truck-03,nsc,푸드트럭 3,후문-신관 도로,,,"범례 3. 2025: 천하제일관"
nsc-truck-04,nsc,푸드트럭 4,후문-신관 도로,,,"범례 3. 2025: 러키비키"
nsc-truck-05,nsc,푸드트럭 5,후문-신관 도로,,,"범례 3. 2025: 선물트럭"
nsc-truck-06,nsc,푸드트럭 6,후문-신관 도로,,,"범례 3. 2025: 밀키웨이"
nsc-truck-07,nsc,푸드트럭 7,후문-신관 도로,,,"범례 3. 2025: 택이네"
nsc-truck-08,nsc,푸드트럭 8,후문-신관 도로,,,"범례 3. 2025: 만수무강"
nsc-truck-09,nsc,푸드트럭 9,후문-신관 도로,,,"범례 3. 2025: 미식유랑단"
nsc-truck-10,nsc,푸드트럭 10,후문-신관 도로,,,"범례 3. 2025: 러브디아"
nsc-truck-11,nsc,푸드트럭 11,후문-신관 도로,,,"범례 3. 2025: 브레이브푸드"
nsc-truck-12,nsc,푸드트럭 12,후문-신관 도로,,,"범례 3. 2025: 홀리몰리"
nsc-truck-13,nsc,푸드트럭 13,후문-신관 도로,,,"범례 3. 2025: 푸드시스터즈"
nsc-truck-14,nsc,푸드트럭 14,후문-신관 도로,,,"범례 3. 2025: 장이당"
nsc-truck-15,nsc,푸드트럭 15,후문-신관 도로,,,"범례 3. 2025: 웅이네푸드트럭"
nsc-truck-16,nsc,푸드트럭 16,후문-신관 도로,,,"범례 3. 2025: 최쉐푸드"
nsc-truck-17,nsc,푸드트럭 17,후문-신관 도로,,,"범례 3. 2025: 팔붕이쿡"
nsc-truck-18,nsc,푸드트럭 18,후문-신관 도로,,,"범례 3. 2025: 파라다이스"
nsc-delivery-zone,nsc,배달존,후문 앞 외부,,,"범례 4. 2025: 10:00-22:00"
nsc-promo-01,nsc,프로모션 (북측),대운동장 북측,,,"범례 5. 취식존(동측) 서쪽 인접. 운영시간 업체별 상이"
nsc-promo-02,nsc,프로모션 (서측),대운동장 서측,,,"범례 5. 트랙 서편 바깥. 운영시간 업체별 상이"
